	subject	virus tax id	taxonomy	name	seq_size	genome	order	family	genus	genome_type	genome_composition	species	virus	baltimore	segment_n	seq_n	genome_size	complete_genome
13478	NC_043221	169102.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Closteroviridae; Crinivirus	Abutilon yellows virus methyltransferase gene, partial cds	555	Riboviria	undefined	Closteroviridae	Crinivirus	1.0	ssRNA	Abutilon yellows virus	Abutilon yellows virus	ssRNA(+)	2.0	2.0	1311.0	0.0
13479	NC_043222	169102.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Closteroviridae; Crinivirus	Abutilon yellows virus coat protein gene, complete cds	756	Riboviria	undefined	Closteroviridae	Crinivirus	1.0	ssRNA	Abutilon yellows virus	Abutilon yellows virus	ssRNA(+)	2.0	2.0	1311.0	0.0
11329	NC_038769	1776763.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus; Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA1 RNA-dependent RNA polymerase gene, complete cds	7061	Riboviria	Bunyavirales	Fimoviridae	Emaravirus	1.0	ssRNA	Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot-associated virus	ssRNA(-)	5.0	5.0	14146.0	0.0
11330	NC_038770	1776763.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus; Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA2 glycoprotein precursor, gene, complete cds	2267	Riboviria	Bunyavirales	Fimoviridae	Emaravirus	1.0	ssRNA	Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot-associated virus	ssRNA(-)	5.0	5.0	14146.0	0.0
11331	NC_038771	1776763.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus; Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA4 membrane-located protein gene, complete cds	1664	Riboviria	Bunyavirales	Fimoviridae	Emaravirus	1.0	ssRNA	Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot-associated virus	ssRNA(-)	5.0	5.0	14146.0	0.0
11332	NC_038772	1776763.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus; Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA3 nucleocapsid protein gene, complete cds	1678	Riboviria	Bunyavirales	Fimoviridae	Emaravirus	1.0	ssRNA	Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot-associated virus	ssRNA(-)	5.0	5.0	14146.0	0.0
11333	NC_038773	1776763.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Fimoviridae; Emaravirus; Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA5 putative protein gene, complete cds	1476	Riboviria	Bunyavirales	Fimoviridae	Emaravirus	1.0	ssRNA	Actinidia chlorotic ringspot-associated emaravirus	Actinidia chlorotic ringspot-associated virus	ssRNA(-)	5.0	5.0	14146.0	0.0
1815	NC_029129	1611877.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Phlebovirus;Salehabad phlebovirus;Adana virus	Adana virus strain 195 segment S, complete sequence	1777	Riboviria	undefined	undefined	Salehabad phlebovirus	1.0	ssRNA	Adana phlebovirus	Adana virus	ssRNA(-)	3.0	4.0	14166.0	0.0
2962	NC_029128	1611877.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Adana phlebovirus	Adana virus strain 195 segment M, complete sequence	4229	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Adana phlebovirus	Adana virus	ssRNA(-)	3.0	4.0	14166.0	0.0
2963	NC_029129	1611877.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Adana phlebovirus	Adana virus strain 195 segment S, complete sequence	1755	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Adana phlebovirus	Adana virus	ssRNA(-)	3.0	4.0	14166.0	0.0
